Sliding Window: [1,2) sent but not acked, [2,5] available
Sliding Window: [2,2) sent but not acked, [2,6] available
Sliding Window: [2,3) sent but not acked, [3,6] available
Sliding Window: [2,4) sent but not acked, [4,6] available
Sliding Window: [2,5) sent but not acked, [5,6] available
Sliding Window: [2,6) sent but not acked, [6,6] available
Sliding Window: [2,7) sent but not acked, [7,6] available
Sliding Window: [3,7) sent but not acked, [7,7] available
Sliding Window: [5,7) sent but not acked, [7,9] available
Sliding Window: [6,7) sent but not acked, [7,10] available
Sliding Window: [7,7) sent but not acked, [7,11] available
Sliding Window: [7,8) sent but not acked, [8,11] available
Sliding Window: [7,9) sent but not acked, [9,11] available
Sliding Window: [7,10) sent but not acked, [10,11] available
Sliding Window: [7,11) sent but not acked, [11,11] available
Sliding Window: [7,12) sent but not acked, [12,11] available
Sliding Window: [8,12) sent but not acked, [12,12] available
Sliding Window: [9,12) sent but not acked, [12,13] available
Sliding Window: [10,12) sent but not acked, [12,14] available
Sliding Window: [11,12) sent but not acked, [12,15] available
Sliding Window: [12,12) sent but not acked, [12,16] available
Sliding Window: [12,13) sent but not acked, [13,16] available
Sliding Window: [12,14) sent but not acked, [14,16] available
Sliding Window: [12,15) sent but not acked, [15,16] available
Sliding Window: [12,16) sent but not acked, [16,16] available
Sliding Window: [12,17) sent but not acked, [17,16] available
Sliding Window: [13,17) sent but not acked, [17,17] available
Sliding Window: [14,17) sent but not acked, [17,18] available
Sliding Window: [15,17) sent but not acked, [17,19] available
Sliding Window: [16,17) sent but not acked, [17,20] available
Sliding Window: [17,17) sent but not acked, [17,21] available
Sliding Window: [17,18) sent but not acked, [18,21] available
Sliding Window: [17,19) sent but not acked, [19,21] available
Sliding Window: [17,20) sent but not acked, [20,21] available
Sliding Window: [17,21) sent but not acked, [21,21] available
Sliding Window: [17,22) sent but not acked, [22,21] available
Sliding Window: [18,22) sent but not acked, [22,22] available
Sliding Window: [19,22) sent but not acked, [22,23] available
Sliding Window: [20,22) sent but not acked, [22,24] available
Sliding Window: [20,22) sent but not acked, [22,24] available
Sliding Window: [20,22) sent but not acked, [22,24] available
Sliding Window: [20,22) sent but not acked, [22,24] available
Sliding Window: [21,22) sent but not acked, [22,25] available
Sliding Window: [22,22) sent but not acked, [22,26] available
Sliding Window: [22,23) sent but not acked, [23,26] available
Sliding Window: [22,24) sent but not acked, [24,26] available
Sliding Window: [22,25) sent but not acked, [25,26] available
Sliding Window: [22,26) sent but not acked, [26,26] available
Sliding Window: [22,27) sent but not acked, [27,26] available
Sliding Window: [22,27) sent but not acked, [27,26] available
Sliding Window: [22,27) sent but not acked, [27,26] available
Sliding Window: [23,27) sent but not acked, [27,27] available
Sliding Window: [23,27) sent but not acked, [27,27] available
Sliding Window: [24,27) sent but not acked, [27,28] available
Sliding Window: [25,27) sent but not acked, [27,29] available
Sliding Window: [26,27) sent but not acked, [27,30] available
Sliding Window: [27,27) sent but not acked, [27,31] available
Sliding Window: [27,28) sent but not acked, [28,31] available
Sliding Window: [27,29) sent but not acked, [29,31] available
Sliding Window: [27,30) sent but not acked, [30,31] available
Sliding Window: [27,31) sent but not acked, [31,31] available
Sliding Window: [27,32) sent but not acked, [32,31] available
Sliding Window: [30,32) sent but not acked, [32,34] available
Sliding Window: [31,32) sent but not acked, [32,35] available
Sliding Window: [32,32) sent but not acked, [32,36] available
Sliding Window: [32,32) sent but not acked, [32,36] available
Sliding Window: [32,32) sent but not acked, [32,36] available
Sliding Window: [32,32) sent but not acked, [32,36] available
Sliding Window: [32,32) sent but not acked, [32,36] available
Sliding Window: [32,32) sent but not acked, [32,36] available
Sliding Window: [32,33) sent but not acked, [33,36] available
Sliding Window: [32,34) sent but not acked, [34,36] available
Sliding Window: [32,35) sent but not acked, [35,36] available
Sliding Window: [32,36) sent but not acked, [36,36] available
Sliding Window: [32,37) sent but not acked, [37,36] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [33,37) sent but not acked, [37,37] available
Sliding Window: [34,37) sent but not acked, [37,38] available
Sliding Window: [35,37) sent but not acked, [37,39] available
Sliding Window: [36,37) sent but not acked, [37,40] available
Sliding Window: [37,37) sent but not acked, [37,41] available
Sliding Window: [37,38) sent but not acked, [38,41] available
Sliding Window: [37,39) sent but not acked, [39,41] available
Sliding Window: [37,40) sent but not acked, [40,41] available
Sliding Window: [37,41) sent but not acked, [41,41] available
Sliding Window: [37,42) sent but not acked, [42,41] available
Sliding Window: [38,42) sent but not acked, [42,42] available
Sliding Window: [39,42) sent but not acked, [42,43] available
Sliding Window: [39,42) sent but not acked, [42,43] available
Sliding Window: [39,42) sent but not acked, [42,43] available
Sliding Window: [40,42) sent but not acked, [42,44] available
Sliding Window: [41,42) sent but not acked, [42,45] available
Sliding Window: [42,42) sent but not acked, [42,46] available
Sliding Window: [42,43) sent but not acked, [43,46] available
Sliding Window: [42,44) sent but not acked, [44,46] available
Sliding Window: [42,45) sent but not acked, [45,46] available
Sliding Window: [42,46) sent but not acked, [46,46] available
Sliding Window: [42,47) sent but not acked, [47,46] available
Sliding Window: [42,47) sent but not acked, [47,46] available
Sliding Window: [42,47) sent but not acked, [47,46] available
Sliding Window: [42,47) sent but not acked, [47,46] available
Sliding Window: [42,47) sent but not acked, [47,46] available
Sliding Window: [42,47) sent but not acked, [47,46] available
Sliding Window: [43,47) sent but not acked, [47,47] available
Sliding Window: [44,47) sent but not acked, [47,48] available
Sliding Window: [45,47) sent but not acked, [47,49] available
Sliding Window: [46,47) sent but not acked, [47,50] available
Sliding Window: [46,47) sent but not acked, [47,50] available
Sliding Window: [47,47) sent but not acked, [47,51] available
Sliding Window: [47,48) sent but not acked, [48,51] available
Sliding Window: [47,49) sent but not acked, [49,51] available
Sliding Window: [47,50) sent but not acked, [50,51] available
Sliding Window: [47,51) sent but not acked, [51,51] available
Sliding Window: [47,52) sent but not acked, [52,51] available
Sliding Window: [47,52) sent but not acked, [52,51] available
Sliding Window: [47,52) sent but not acked, [52,51] available
Sliding Window: [47,52) sent but not acked, [52,51] available
Sliding Window: [47,52) sent but not acked, [52,51] available
Sliding Window: [48,52) sent but not acked, [52,52] available
Sliding Window: [48,52) sent but not acked, [52,52] available
Sliding Window: [48,52) sent but not acked, [52,52] available
Sliding Window: [49,52) sent but not acked, [52,53] available
Sliding Window: [49,52) sent but not acked, [52,53] available
Sliding Window: [50,52) sent but not acked, [52,54] available
Sliding Window: [50,52) sent but not acked, [52,54] available
Sliding Window: [50,52) sent but not acked, [52,54] available
Sliding Window: [52,52) sent but not acked, [52,56] available
Sliding Window: [52,53) sent but not acked, [53,56] available
Sliding Window: [52,54) sent but not acked, [54,56] available
Sliding Window: [52,55) sent but not acked, [55,56] available
Sliding Window: [52,56) sent but not acked, [56,56] available
Sliding Window: [52,57) sent but not acked, [57,56] available
Sliding Window: [53,57) sent but not acked, [57,57] available
Sliding Window: [55,57) sent but not acked, [57,59] available
Sliding Window: [55,57) sent but not acked, [57,59] available
Sliding Window: [56,57) sent but not acked, [57,60] available
Sliding Window: [57,57) sent but not acked, [57,61] available
Sliding Window: [57,58) sent but not acked, [58,61] available
Sliding Window: [57,59) sent but not acked, [59,61] available
Sliding Window: [57,60) sent but not acked, [60,61] available
Sliding Window: [57,61) sent but not acked, [61,61] available
Sliding Window: [57,62) sent but not acked, [62,61] available
Sliding Window: [58,62) sent but not acked, [62,62] available
Sliding Window: [59,62) sent but not acked, [62,63] available
Sliding Window: [61,62) sent but not acked, [62,65] available
Sliding Window: [62,62) sent but not acked, [62,66] available
Sliding Window: [62,63) sent but not acked, [63,66] available
Sliding Window: [62,64) sent but not acked, [64,66] available
Sliding Window: [62,65) sent but not acked, [65,66] available
Sliding Window: [62,66) sent but not acked, [66,66] available
Sliding Window: [62,67) sent but not acked, [67,66] available
Sliding Window: [63,67) sent but not acked, [67,67] available
Sliding Window: [64,67) sent but not acked, [67,68] available
Sliding Window: [66,67) sent but not acked, [67,70] available
Sliding Window: [67,67) sent but not acked, [67,71] available
Sliding Window: [67,68) sent but not acked, [68,71] available
Sliding Window: [67,69) sent but not acked, [69,71] available
Sliding Window: [67,70) sent but not acked, [70,71] available
Sliding Window: [67,71) sent but not acked, [71,71] available
Sliding Window: [67,72) sent but not acked, [72,71] available
Sliding Window: [68,72) sent but not acked, [72,72] available
Sliding Window: [70,72) sent but not acked, [72,74] available
Sliding Window: [71,72) sent but not acked, [72,75] available
Sliding Window: [72,72) sent but not acked, [72,76] available
Sliding Window: [72,73) sent but not acked, [73,76] available
Sliding Window: [72,74) sent but not acked, [74,76] available
Sliding Window: [72,75) sent but not acked, [75,76] available
Sliding Window: [72,76) sent but not acked, [76,76] available
Sliding Window: [72,77) sent but not acked, [77,76] available
Sliding Window: [73,77) sent but not acked, [77,77] available
Sliding Window: [74,77) sent but not acked, [77,78] available
Sliding Window: [75,77) sent but not acked, [77,79] available
Sliding Window: [76,77) sent but not acked, [77,80] available
Sliding Window: [77,77) sent but not acked, [77,81] available
Sliding Window: [77,78) sent but not acked, [78,81] available
Sliding Window: [77,79) sent but not acked, [79,81] available
Sliding Window: [77,80) sent but not acked, [80,81] available
Sliding Window: [77,81) sent but not acked, [81,81] available
Sliding Window: [77,82) sent but not acked, [82,81] available
Sliding Window: [77,82) sent but not acked, [82,81] available
Sliding Window: [77,82) sent but not acked, [82,81] available
Sliding Window: [77,82) sent but not acked, [82,81] available
Sliding Window: [78,82) sent but not acked, [82,82] available
Sliding Window: [79,82) sent but not acked, [82,83] available
Sliding Window: [80,82) sent but not acked, [82,84] available
Sliding Window: [80,82) sent but not acked, [82,84] available
Sliding Window: [81,82) sent but not acked, [82,85] available
Sliding Window: [82,82) sent but not acked, [82,86] available
Sliding Window: [82,83) sent but not acked, [83,86] available
Sliding Window: [82,84) sent but not acked, [84,86] available
Sliding Window: [82,85) sent but not acked, [85,86] available
Sliding Window: [82,86) sent but not acked, [86,86] available
Sliding Window: [82,87) sent but not acked, [87,86] available
Sliding Window: [83,87) sent but not acked, [87,87] available
Sliding Window: [84,87) sent but not acked, [87,88] available
Sliding Window: [84,87) sent but not acked, [87,88] available
Sliding Window: [84,87) sent but not acked, [87,88] available
Sliding Window: [84,87) sent but not acked, [87,88] available
Sliding Window: [84,87) sent but not acked, [87,88] available
Sliding Window: [85,87) sent but not acked, [87,89] available
Sliding Window: [87,87) sent but not acked, [87,91] available
Sliding Window: [87,87) sent but not acked, [87,91] available
Sliding Window: [87,88) sent but not acked, [88,91] available
Sliding Window: [87,89) sent but not acked, [89,91] available
Sliding Window: [87,90) sent but not acked, [90,91] available
Sliding Window: [87,91) sent but not acked, [91,91] available
Sliding Window: [87,92) sent but not acked, [92,91] available
Sliding Window: [88,92) sent but not acked, [92,92] available
Sliding Window: [90,92) sent but not acked, [92,94] available
Sliding Window: [91,92) sent but not acked, [92,95] available
Sliding Window: [92,92) sent but not acked, [92,96] available
Sliding Window: [92,93) sent but not acked, [93,96] available
Sliding Window: [92,94) sent but not acked, [94,96] available
Sliding Window: [92,95) sent but not acked, [95,96] available
Sliding Window: [92,96) sent but not acked, [96,96] available
Sliding Window: [92,97) sent but not acked, [97,96] available
Sliding Window: [93,97) sent but not acked, [97,97] available
Sliding Window: [93,97) sent but not acked, [97,97] available
Sliding Window: [93,97) sent but not acked, [97,97] available
Sliding Window: [94,97) sent but not acked, [97,98] available
Sliding Window: [94,97) sent but not acked, [97,98] available
Sliding Window: [94,97) sent but not acked, [97,98] available
Sliding Window: [94,97) sent but not acked, [97,98] available
Sliding Window: [95,97) sent but not acked, [97,99] available
Sliding Window: [95,97) sent but not acked, [97,99] available
Sliding Window: [95,97) sent but not acked, [97,99] available
Sliding Window: [96,97) sent but not acked, [97,100] available
Sliding Window: [97,97) sent but not acked, [97,101] available
Sliding Window: [97,98) sent but not acked, [98,101] available
Sliding Window: [97,99) sent but not acked, [99,101] available
Sliding Window: [97,100) sent but not acked, [100,101] available
Sliding Window: [97,101) sent but not acked, [101,101] available
Sliding Window: [97,102) sent but not acked, [102,101] available
Sliding Window: [98,102) sent but not acked, [102,102] available
Sliding Window: [99,102) sent but not acked, [102,103] available
Sliding Window: [99,102) sent but not acked, [102,103] available
Sliding Window: [100,102) sent but not acked, [102,104] available
Sliding Window: [100,102) sent but not acked, [102,104] available
Sliding Window: [100,102) sent but not acked, [102,104] available
Sliding Window: [101,102) sent but not acked, [102,105] available
Sliding Window: [101,102) sent but not acked, [102,105] available
Sliding Window: [102,102) sent but not acked, [102,106] available
Sliding Window: [102,103) sent but not acked, [103,106] available
Sliding Window: [102,104) sent but not acked, [104,106] available
Sliding Window: [102,105) sent but not acked, [105,106] available
Sliding Window: [102,106) sent but not acked, [106,106] available
Sliding Window: [102,107) sent but not acked, [107,106] available
Sliding Window: [103,107) sent but not acked, [107,107] available
Sliding Window: [103,107) sent but not acked, [107,107] available
Sliding Window: [103,107) sent but not acked, [107,107] available
Sliding Window: [104,107) sent but not acked, [107,108] available
Sliding Window: [105,107) sent but not acked, [107,109] available
Sliding Window: [106,107) sent but not acked, [107,110] available
